ril,petal_area,petal_perim,herkoogamy,protandry,pollinator_visits
A46,115.60384950027915,62.54495936295287,0.8999999999999997,2.800000000000031,3
A102,51.18779999999963,47.1633999999998,0.4999999999999993,0.8000000000000325,0.6666666666666666
A140,76.90500794315699,53.552311168554944,0.2999999999999995,1.2000000000000322,1.8461538461538465
A19,42.330849500279164,42.86220936295286,1.999999999999999,1.7443663994189968,0.5833333333333334
B139,88.15342806189476,58.41309745649704,2.4,2.200000000000032,0.3076923076923077
A98,73.48279999999966,52.77119999999981,0.8000000000000018,2.0000000000000324,0.6666666666666666
A114,48.31550096386082,47.11454311999759,2.1999999999999993,1.2000000000000324,1.3333333333333333
A111,50.91514478780456,39.32766776202644,1.0999999999999994,1.6000000000000325,0.75
B8,47.210199999999624,37.6195999999998,1.3999999999999997,0.8000000000000317,0.4166666666666667
B73,41.58719999999962,41.20319999999979,0.3999999999999996,2.0000000000000315,0.3333333333333333
B120,105.27359999999967,64.76399999999978,2.3,3.4000000000000323,4
A96,78.3645009638608,58.552543119997594,1.7999999999999994,3.000000000000031,2
A64,42.41159999999962,35.22619999999978,0.09999999999999776,0.40000000000003166,0
A63,75.00280992458215,55.125027375344075,0.9000000000000004,2.000000000000032,0.5
B131,65.84339999999962,47.44419999999979,0.19999999999999957,1.8000000000000316,0.875
A115,65.97414478780459,46.14416776202644,1.0000000000000002,2.2000000000000326,1.6
B27,103.94084950027916,62.18720936295287,0.10000000000000056,3.0000000000000315,2.1666666666666665
B68,56.40319999999963,49.2057999999998,0.19999999999999968,1.6000000000000318,0.4166666666666667
A118,51.84919999999962,43.4175999999998,0.39999999999999936,1.0000000000000326,0.6
A119,48.73504102140131,46.90765020404977,0.8999999999999997,1.0000000000000326,0.8333333333333334
B46,53.224799999999625,41.1479999999998,1.1,0.8000000000000317,0.5833333333333334
B49,61.13059999999962,48.8675999999998,0.19999999999999957,0.20000000000003149,0.1111111111111111
A30,71.08979999999963,48.4707999999998,1.8999999999999997,2.800000000000031,1.25
B132,99.4969999999997,56.7103999999998,1.7,3.0000000000000315,2.3333333333333335
B18,57.02659999999965,52.0475999999998,1.9,1.6000000000000318,0
A47,65.17734950027916,47.48770936295286,2.0000000000000004,2.8000000000000314,0.8333333333333334
A104,57.04879999999963,46.8457999999998,1,1.2000000000000322,2.1666666666666665
A43,42.58019999999963,43.76299999999979,1.0999999999999996,1.4000000000000317,2.1666666666666665
A83,43.200599999999625,39.2443999999998,1.3877787807814454e-16,0.8000000000000316,0
B12,61.60399999999965,49.72279999999979,0.4999999999999995,0.8000000000000316,0
B3,42.35799999999963,39.8577999999998,0.39999999999999936,2.200000000000032,0.5833333333333334
B95,69.45750096386084,46.66554311999759,0.5999999999999996,2.400000000000031,0.4166666666666667
A25,75.32684950027917,54.01920936295287,1.2999999999999994,1.8000000000000322,1
A31,73.4151551119286,55.2467086552618,1,2.000000000000032,3.4615384615384617
A90,81.49879999999962,53.0311999999998,1.2,2.400000000000031,1.5
A18,48.34859999999963,41.97039999999979,0.7999999999999996,1.400000000000032,1.8333333333333333
B130,69.79384950027917,46.690709362952866,0.5999999999999998,1.000000000000032,1.6153846153846154
A126,41.054199999999625,40.574599999999805,0.2999999999999996,0.8000000000000318,1.9166666666666667
B137,78.76164478780458,51.24166776202643,1.1999999999999993,1.600000000000032,0.4
B105,45.811199999999616,46.12239999999979,0.9999999999999996,1.0000000000000322,2.1538461538461537
B23,68.36384950027916,54.55845936295287,2.1,2.2000000000000317,0.6666666666666666
B128,41.40079999999962,41.5075999999998,0.10000000000000088,0.4000000000000315,0.4166666666666667
A21,61.51902622261599,48.005197977045064,1.8000000000000005,2.000000000000032,1.25
B136,61.711999999999634,56.539599999999794,3.1,3.0000000000000315,7.833333333333333
A16,53.27159999999962,49.69679999999979,0.09999999999999974,2.4000000000000323,1.1538461538461535
B62,36.500599999999665,39.3057999999998,0.5999999999999998,0.6000000000000317,0.4166666666666667
A1,43.04339999999687,42.46879999998398,0.09999999999999463,1.200000000000062,1
B61,59.46459950027916,55.190959362952874,0.6999999999999996,2.400000000000031,1.0833333333333333
A128,64.28499999999964,53.082199999999794,1.0999999999999994,1.400000000000032,1.3
A50,95.17434950027916,55.72820936295287,0.2999999999999986,2.2000000000000326,0
B108,82.56502622261598,56.25919797704507,1.1999999999999995,3.000000000000032,2.1538461538461537
A12,58.870428061894714,42.59476412316371,0.29999999999999893,2.4000000000000323,1.4166666666666667
B48,56.20522154614141,46.153863729419655,1.1999999999999995,1.6000000000000316,1.2307692307692308
A136,88.32899999999964,51.4273999999998,0.9999999999999994,2.800000000000032,4.769230769230769
B104,72.07999999999963,57.0017999999998,0.39999999999999936,2.0000000000000315,0.5833333333333334
A44,53.34739999999961,51.52219999999979,0.9999999999999998,2.6000000000000307,4
B65,56.48827622261599,50.319447977045066,0.2999999999999996,1.2000000000000317,0.25
A67,73.49879999999963,50.349999999999795,-3.6082248300317592e-16,2.4000000000000323,0.4166666666666667
B33,58.00379999999963,49.9169999999998,0.39999999999999947,1.8000000000000318,0.5833333333333334
B31,62.437399999999634,46.12659999999981,1.1,1.600000000000032,0.75
A51,50.33900446248332,43.1058765870695,0.9999999999999998,0.7068384659863545,1.1666666666666667
B40,67.74419999999964,45.09539999999979,0.3999999999999996,1.000000000000032,0.3333333333333333
A132,53.79239999999964,42.4023999999998,0.2999999999999991,1.2000000000000322,1.6666666666666667
A58,58.14759999999965,46.19379999999979,0.6999999999999996,1.0000000000000322,0.7142857142857143
A78,50.64719999999962,41.2021999999998,0.19999999999999896,0.6000000000000314,0.16666666666666666
A49,66.57039999999962,56.45599999999979,0.3999999999999993,2.400000000000032,0.8333333333333334
A59,71.44409950027915,55.59470936295287,0.3999999999999998,2.4000000000000323,1.3076923076923077
B121,64.67383429719416,44.87254311999758,1.4999999999999998,2.2000000000000317,1
A8,63.65759950027915,49.49495936295286,3.8857805861880484e-16,2.000000000000032,0
A106,68.89479999999966,56.514799999999795,1.7999999999999985,3.000000000000032,0.5
B34,50.57259999999964,47.3443999999998,0.39999999999999947,2.000000000000032,0.08333333333333333
A69,32.39179999999965,34.20179999999978,1.3999999999999997,3.1974423109204515e-14,0
A107,67.46342084877982,52.438328951893226,0.6999999999999994,2.000000000000032,1.5
A53,65.39379999999963,54.3941999999998,0.5999999999999995,1.2000000000000326,0.6666666666666666
A109,47.20659950027915,38.77820936295286,0.2999999999999995,1.2000000000000322,0.3
A123,77.59209950027916,54.53370936295286,0.5999999999999981,2.200000000000032,5.75
B113,62.79279999999963,54.345599999999806,2.3000000000000003,0.8000000000000318,0.25
A100,55.41109950027914,43.20095936295287,1.1999999999999993,1.0000000000000324,0.6666666666666666
A92,65.3831447878046,50.82841776202643,0.399999999999999,2.2000000000000317,2.8
A17,35.38919999999963,36.1331999999998,0.09999999999999822,1.2000000000000326,0.9230769230769232
B47,57.62879999999963,43.0561999999998,0.7999999999999999,1.000000000000032,1
A124,60.88099999999963,46.49559999999979,0.6999999999999997,2.0000000000000315,1
A2,49.829199999999624,46.5489999999998,0.39999999999999897,2.0000000000000315,0.75
A81,50.52499999999963,44.9255999999998,1.0999999999999994,2.4000000000000323,0.8333333333333334
B42,34.147599999999684,39.834999999999795,0.2999999999999996,0.8000000000000318,0.09090909090909093
A28,56.35734950027914,51.434709362952866,0.5,1.400000000000032,3.25
A27,87.45259950027915,51.78720936295286,2.200000000000001,3.000000000000031,5.416666666666667
B14,50.014420848779835,41.41332895189323,0.1999999999999996,1.400000000000032,1.7777777777777777
B30,68.07339999999962,51.9489999999998,1.6,3.2000000000000313,0.4166666666666667
B45,66.83879999999962,46.58759999999979,0.6999999999999995,1.8000000000000318,0.75
A42,87.40639999999964,53.9333999999998,1.1000000000000003,3.200000000000032,5.25
B81,71.94739999999963,51.2127999999998,0.9999999999999998,1.8000000000000318,1.9230769230769231
B58,84.77759999999961,54.5257999999998,0.29999999999999943,1.800000000000032,1.5833333333333333
A87,66.06379999999962,53.923199999999795,0.10000000000000106,1.800000000000032,2.5
B98,39.688799999999624,39.5805999999998,0.19999999999999937,0.8000000000000318,0.4615384615384616
B118,76.55799999999962,58.353799999999794,0.6999999999999996,3.2000000000000313,0.9166666666666666
B124,56.58339999999963,53.16239999999979,0.20000000000000032,2.8000000000000314,2.1666666666666665
A57,77.24719999999961,65.61019999999976,1.2999999999999998,2.200000000000032,1.5833333333333333
A35,63.28276139522804,50.27509745649704,0.6,1.8000000000000322,5.916666666666667
B117,60.93319999999964,50.58459999999979,0.5999999999999995,0.400000000000032,0
A37,49.362399999999624,40.12899999999979,1.1999999999999995,1.6000000000000318,0
A70,48.86797154614141,40.71461372941966,1.6250000000000002,2.2199979544550734,0
B85,77.07384950027915,55.839709362952874,1.2999999999999992,3.2000000000000326,0.3333333333333333
B9,61.781644787804574,51.39991776202643,0.2999999999999995,1.600000000000032,1.0769230769230769
B119,49.13199999999962,49.2105999999998,0.6999999999999996,2.000000000000032,2.75
A76,73.1909999999996,49.045799999999794,0.6999999999999981,2.6000000000000316,0.08333333333333333
B135,57.40959999999963,46.9163999999998,0.7999999999999997,1.8000000000000318,0.8333333333333334
B129,83.57479999999963,67.65759999999977,1.2999999999999992,3.2000000000000313,3
A112,91.24139999999964,55.1993999999998,0.3999999999999999,2.6000000000000325,4.923076923076923
B115,57.91459999999962,40.697599999999795,0.7999999999999992,1.6000000000000325,1.4166666666666667
B112,52.13079999999963,41.22159999999979,0.39999999999999974,1.8000000000000318,0.5
A34,61.736999999999625,47.3343999999998,0.5000000000000001,1.6000000000000318,0.6
A94,NA,NA,1.0000000000000009,0.600000000000032,4.25
B54,86.61099999999959,55.7503999999998,0.3999999999999993,1.8000000000000318,0.5833333333333334
