year,sex,age_years,length_mm,mass_kg
1996,F,3,513,3.09
1996,F,3,513,2.909
1996,F,3,525,3.056
1996,F,3,501,2.69
1996,F,3,513,2.876
1996,F,3,501,2.978
1996,F,2,427,1.61
1996,F,2,457,2.156
1996,F,2,427,1.563
1996,F,2,447,1.763
1996,F,2,437,1.79
1996,F,3,501,3.3
1996,F,2,457,1.906
1996,F,2,427,1.992
1996,F,2,447,1.694
1996,F,2,407,1.44
1996,F,3,513,3.25
1996,F,2,447,2.177
1996,F,2,457,2.13
1996,F,2,389,1.252
1996,F,3,468,2.334
1996,F,2,437,1.95
1996,F,3,468,2.56
1996,F,2,437,1.764
1996,F,2,427,1.532
1996,F,2,427,1.656
1996,F,2,437,1.812
1996,F,2,427,1.696
1996,F,2,427,1.835
1996,F,2,417,1.516
1996,F,2,437,1.749
1996,F,2,398,1.39
1996,F,2,468,2.615
1996,F,2,427,1.585
1996,F,2,427,1.829
1996,F,2,398,1.542
1996,F,2,407,1.76
1996,F,2,437,1.991
1996,F,3,550,3.528
1996,F,2,427,1.602
1996,F,2,427,1.852
1996,F,2,427,1.848
1996,F,2,427,1.723
1996,F,3,479,3.301
1996,F,3,490,2.872
1996,F,3,501,3.075
1996,F,3,513,3.274
1996,F,2,407,1.474
1996,F,3,479,2.288
1996,F,2,427,1.698
1996,F,3,501,2.834
1996,F,3,479,2.929
1996,F,2,447,1.885
1996,F,3,490,3.001
1996,F,2,427,1.736
1996,F,3,537,3.209
1996,F,2,427,1.737
1996,F,2,447,2.021
1996,F,3,513,2.925
1996,F,3,525,3.493
1996,F,2,437,1.893
1996,F,2,437,1.832
1996,F,2,427,1.67
1996,F,2,447,1.903
1996,F,2,457,1.99
1996,F,2,437,1.827
1996,F,3,501,2.9
1996,F,3,501,2.764
1996,F,2,447,2.036
1996,F,2,447,2.029
1996,F,2,427,1.598
1996,F,2,457,2.015
1996,F,3,501,3.038
1996,F,3,501,2.677
1996,F,2,457,2.316
1996,F,2,447,1.982
1996,F,2,447,1.945
1996,F,2,407,1.584
1996,F,2,437,1.945
1996,F,3,479,2.495
1996,F,2,437,1.913
1996,F,3,501,2.658
1996,F,2,447,1.897
1996,F,2,457,2.132
1996,F,2,457,1.973
1996,F,3,513,3.106
1996,F,2,468,2.362
1996,F,2,437,1.837
1996,F,2,447,1.957
1996,F,2,437,1.8
1996,F,3,513,3.107
1996,F,2,447,1.894
1996,F,2,437,2.033
1996,F,2,447,1.748
1996,F,3,501,2.94
1996,F,2,437,1.891
1996,F,2,437,1.996
1996,F,2,447,1.76
1996,F,3,513,3.068
1996,F,2,437,1.79
1996,F,2,427,1.666
1996,F,3,513,3.005
1996,F,2,457,1.986
1996,F,3,501,2.808
1996,F,2,437,1.945
1996,F,2,407,1.408
1996,F,2,447,1.914
1996,F,2,427,1.64
1996,F,2,447,1.811
1996,F,2,437,1.883
1996,F,2,417,1.495
1996,F,2,447,1.77
1996,F,2,447,1.96
1996,F,2,457,1.897
1996,F,2,468,2.259
1996,F,2,427,1.695
1996,F,2,447,1.779
1996,F,2,417,1.528
1996,F,3,457,1.941
1996,F,3,468,2.425
1996,F,3,513,2.753
1996,F,2,407,1.611
1996,F,2,437,1.872
1996,F,2,437,1.843
1996,F,2,427,1.595
1996,F,2,447,1.82
1996,F,2,447,2.068
1996,F,2,407,1.347
1996,F,3,525,2.947
1996,F,2,407,1.551
1996,F,2,407,1.425
1996,F,2,437,1.738
1996,F,2,447,2.028
1996,F,3,513,3.001
1996,F,2,437,1.701
1996,F,2,417,1.568
1996,F,2,437,1.728
1996,F,2,447,2.118
1996,F,3,513,2.815
1996,F,2,457,1.926
1996,F,2,447,1.896
1996,F,2,407,1.462
1996,F,2,437,1.612
1996,F,2,417,1.596
1996,F,2,427,1.745
1996,F,2,417,1.586
1996,F,2,427,1.653
1996,F,3,513,2.872
1996,F,2,457,1.984
1996,F,2,417,1.622
1996,F,3,501,2.775
1996,F,2,427,1.654
1996,F,2,447,1.815
1996,F,2,427,1.636
1996,F,2,437,1.782
1996,F,2,398,1.18
1996,F,2,407,1.435
1996,F,2,447,1.868
1996,F,2,437,1.76
1996,F,2,427,1.602
1996,F,2,427,1.591
1996,F,3,479,2.578
1996,F,2,417,1.414
1996,F,2,447,1.89
1996,F,2,437,1.625
1996,F,3,501,2.703
1996,F,2,437,1.632
1996,F,2,457,1.945
1996,F,2,457,2.137
1996,F,3,513,3.095
1996,F,2,457,2.016
1996,F,2,427,1.525
1996,F,2,417,1.458
1996,F,2,417,1.633
1996,F,3,501,2.572
1996,F,2,437,1.641
1996,F,2,389,1.215
1996,F,2,417,1.562
1996,F,2,457,1.891
1996,F,2,457,1.97
1996,F,2,437,1.62
1996,F,2,447,1.928
1996,F,2,417,1.573
1996,F,2,437,1.727
1996,F,2,427,1.619
1996,F,3,501,2.905
1996,F,2,437,1.544
1996,F,2,427,1.406
1996,F,2,437,1.72
1996,F,2,437,1.699
1996,F,2,437,1.676
1996,F,2,457,1.994
1996,F,2,437,1.777
1996,F,3,501,2.991
1996,F,2,437,1.649
1996,F,2,417,1.645
1996,F,2,447,1.696
1996,F,3,525,3.377
1996,F,2,457,1.982
1996,F,3,479,2.393
1996,F,2,417,1.503
1996,F,2,457,2.203
1996,F,2,417,1.599
1996,F,2,447,1.952
1996,F,2,427,1.569
1996,F,2,427,1.579
1996,F,2,437,1.645
1996,F,2,447,2.027
1996,F,3,490,2.691
1996,F,2,447,1.814
1996,F,3,513,3.047
1996,F,2,407,1.385
1996,F,2,427,1.765
1996,F,2,427,1.527
1996,F,2,427,1.692
1996,F,2,398,1.314
1996,F,3,490,2.59
1996,F,3,479,2.452
1996,F,3,501,2.768
1996,F,2,417,1.602
1996,F,2,447,1.836
1996,F,2,398,1.202
1996,F,2,447,1.93
1996,F,2,427,1.715
1996,F,2,427,1.587
1996,F,2,447,1.825
1996,F,2,447,1.859
1996,F,2,427,1.581