Timestamp,random_int,num_blue,mean_roll,heigh_inch
9/21/2022 10:22:38,7,7,3.2,
9/21/2022 10:27:53,9,,,
9/21/2022 10:31:49,3,11,4,
9/21/2022 10:32:05,3,13,3.6,
9/21/2022 10:32:08,7,9,2.4,
9/21/2022 10:32:37,6,12,4.8,
9/21/2022 10:41:12,6,,,
9/21/2022 10:41:13,8,11,3.8,
9/21/2022 10:41:21,10,8,3,
9/21/2022 10:41:27,7,,2.6,
9/21/2022 10:41:48,9,14,3.2,
9/21/2022 10:41:49,8,15,,
9/21/2022 10:41:51,2,11,2.67,
9/21/2022 10:42:09,7,11,4.4,
9/21/2022 10:42:13,3,,,
9/21/2022 10:42:32,7,15,3.6,
9/21/2022 10:42:43,7, , ,
9/21/2022 10:43:12,6,12,4,
9/21/2022 10:44:49,3,,4.67,
9/21/2022 10:44:59,1,,,
9/21/2022 10:45:23,4,,,
9/21/2022 10:56:19,3,,,
10/7/2024 10:11:27,8,3,3.6,67
10/7/2024 10:15:53,1,6,4,62
10/7/2024 10:16:40,6,4,4,66
10/7/2024 10:16:40,7,5,2.8,69
10/7/2024 10:16:47,7,4,3.8,60
10/7/2024 10:17:12,7,2,2.4,63
10/7/2024 10:17:12,5,4,3,62
10/7/2024 10:17:22,2,8,3,63
10/7/2024 10:18:07,8,5,3.67,70
10/7/2024 10:18:11,7,5,4,64
10/7/2024 10:18:15,3,5,5,70
10/7/2024 10:18:23,7,66,6,62
10/7/2024 10:18:24,0,3,6,64
10/7/2024 10:19:13,2,5,3,64.96063
10/7/2024 10:19:26,5,5,3.4,69.6
10/7/2024 10:19:47,8,6,3.4,71
10/7/2024 10:20:06,1,4,4,65
10/7/2024 10:20:11,6,2,,67
10/7/2024 10:20:28,8,6,4.6,72
10/7/2024 10:21:07,7,7,3,63
10/7/2024 10:21:08,3,5,3.2,72
10/7/2024 10:21:10,2,5,4,63
10/7/2024 10:21:18,2,6,3,68
10/7/2024 10:22:59,6,3,3.8,64.5
10/7/2024 10:24:15,3,4,2.8,75
10/7/2024 10:24:50,6,5,3.6,67
10/7/2024 10:25:29,2,,,65
10/7/2024 10:25:39,7,4,3.4,68
10/7/2024 10:29:57,7,2,3.2,58.5
10/7/2024 10:39:26,2,2,2.8,73
10/7/2024 10:40:36,4,4,4,62
10/7/2024 10:41:04,4,8,,63
10/7/2024 10:41:23,5,4,,61
10/7/2024 10:41:36,7,4,3.2,94
10/7/2024 10:41:37,2,,,68
10/7/2024 10:41:53,6,,,62
10/7/2024 10:42:18,7,7,3.4,67
10/7/2024 10:42:28,6,,,69
,,11.46153846,3.567142857,